prenom,frequence
ROMAIN,0.002254221837096775
GENEVIÈVE,0.002187096595208059
JEROME,0.0021469271591171737
AURÉLIE,0.002144061269524724
LAURENCE,0.0021355458188914225
GILBERT,0.002116905791091354
MICHÈLE,0.0021168823001930554
GABRIEL,0.0021010611801888382
FRANCK,0.0020876478772602442
CÉCILE,0.002086626023184248
THÉRÈSE,0.0020658365781898425
GILLES,0.002063922069978493
COLETTE,0.0020502033853720156
ANTHONY,0.0020337010293171344
JEAN-CLAUDE,0.0020317395393091874
VIRGINIE,0.0020158479466100745
LUCIENNE,0.0020051243515366887
CLÉMENT,0.001992885593523033
LUCAS,0.0019828432345003117
SARAH,0.0019641562249036455
MANON,0.0019614430261501383
FRANCIS,0.0019514593943731641
EMILE,0.0019500969222718358
RAYMONDE,0.001937423582639653
JULIETTE,0.001917327119145061
CORINNE,0.0019128755939174453
ELISABETH,0.0018981585461332702
CLAIRE,0.0018747146296311044
CLAUDINE,0.001867467687505936
DANIELLE,0.0018574605648306627
ELODIE,0.0018415807175806986
PAULINE,0.0018400068273946816
CAROLINE,0.0018353908658789745
CHRISTELLE,0.0018294711595076862
EMMA,0.001820204000128824
JOSETTE,0.0018106666954195263
GEORGETTE,0.0017972299015926337
JULES,0.0017971007016519905
DENIS,0.0017962785202115337
KEVIN,0.001793858957686761
MATHIEU,0.0017834642351895584
BENJAMIN,0.001759914609645048
FLORENCE,0.001738643601235518
ALEXIS,0.0017384791649474266
LAURA,0.0017317490225848308
CHLOÉ,0.0017208492457742046
JOËL,0.0017204381550539763
CHARLOTTE,0.0017204029187065282
MATHILDE,0.0016739026855241263
AUDREY,0.0016630733814083963
BERNADETTE,0.0016624626180526286
HERVÉ,0.0016390774287962095
HUGO,0.0016343087764415607
MARIA,0.0016335923040434483
PATRICE,0.0016314428868491116
GISÈLE,0.0016106769327530047
ADRIEN,0.001595854175926485
SYLVAIN,0.0015954430852062568
EMMANUEL,0.0015924597411223138
RAPHAËL,0.0015869158891238058
FABRICE,0.0015805733465831396
ARNAUD,0.0015785766202277448
CEDRIC,0.0015728096046953982
MÉLANIE,0.0015643881176552916
ROLAND,0.001555626012589853
LAETITIA,0.0015553206309119692
GINETTE,0.0015463471077618416
ANNICK,0.001546053471533107
NADINE,0.00154371612715238
BÉATRICE,0.001539992819772026
MIREILLE,0.0015255341718691372
ANAÏS,0.0015223159188022066
EVELYNE,0.0015036289092055404
QUENTIN,0.001501338546621411
DELPHINE,0.0014992361112236717
FLORIAN,0.0014966756033091065
LUDOVIC,0.0014934103684455784
HENRIETTE,0.0014909438241242081
DAMIEN,0.001479210120423976
VICTOR,0.0014769902305347428
BENOÎT,0.0014763442308315267
MARION,0.0014683573254099472
JOSIANE,0.0014459352629837777
MARTHE,0.0014426700281202497
MICHELLE,0.001434154577486948
KARINE,0.001422373891990118
LÉON,0.0014069990990535775
MARINE,0.0013966631038021217
FERNAND,0.0013933743780402948
ARTHUR,0.0013828387101532994
JEREMY,0.0013812295836198342
JEAN-LUC,0.0013754860589857865
ELISE,0.0013671820264371738
THÉO,0.0013664068267933145
ELIANE,0.0013342830233697557
AGNÈS,0.0013254504456094208
XAVIER,0.0013211163748732989
LILIANE,0.0013167235768914301
ANNA,0.0013163712134169488
ENZO,0.0013161597953322598
MICHELINE,0.0013142452871209107
FABIEN,0.0013021122381495995
NATHAN,0.0012883935535431216
MICKAEL,0.001279232103206604
VALENTIN,0.0012729013061150872
EUGÈNE,0.0012464740455289784
CAROLE,0.0012431853197671517
LOÏC,0.0012377354313618386
FABIENNE,0.0012371246680060706
SIMONNE,0.0012360088503368795
JONATHAN,0.001233624524159555
SANDRA,0.0012181792585281182
JOCELYNE,0.001216793295528491
PASCALE,0.0012056233733874291
BAPTISTE,0.001200173484982116
ROSE,0.001179031676513229
ANNE-MARIE,0.0011755667690141614
JEAN-FRANÇOIS,0.0011663348459827474
GABRIELLE,0.001151147980232597
LÉO,0.001151112743885149
MYRIAM,0.0011477417999792763
AMÉLIE,0.0011475656182420356
CLARA,0.0011240512290449736
AMANDINE,0.0011227122478419441
SABRINA,0.0011223833752657614
INÈS,0.0011031560750082235
JOËLLE,0.0011004428762547164
ODILE,0.0010981642591197363
JUSTINE,0.0010951456786883454
ALEXANDRA,0.0010897427720796297
FRANCINE,0.0010892024814187582
GASTON,0.0010888970997408743
LIONEL,0.0010832827750474699
MARYSE,0.001078760777124958
YANNICK,0.0010765996144814717
SOLANGE,0.0010675673640855971
JEAN-MARC,0.0010628926753241434
HUGUETTE,0.0010594630041725237
JOSEPHINE,0.0010584646409948263
ALINE,0.0010579243503339548
RÉMI,0.0010569259871562574
SAMUEL,0.001045192283456025
MARIE-THÉRÈSE,0.0010438885386004437
CYRIL,0.0010371818871361467
SIMON,0.001027773782367492
JEAN-PAUL,0.0010252602562495245
JADE,0.0010200100404797509
MOHAMED,0.001019798622395062
JEAN-MARIE,0.001016380696692592
JEAN-MICHEL,0.00101413731590506
YANN,0.001008593463906552
FERNANDE,0.001000101504171549
ETIENNE,0.0009965778694267344
RICHARD,0.0009869818374716897
IRÈNE,0.0009830706029049455
OCÉANE,0.0009811913310410446
SONIA,0.0009791711137873509
LAURE,0.000978748277617973
EVA,0.0009786308231264794
AUGUSTE,0.0009690347911714345
TOM,0.0009674726464345667
PIERRETTE,0.0009625278123426771
MICHAEL,0.0009563614515392517
CLÉMENCE,0.0009562087607003098
MATTHIEU,0.0009554335610564505
VANESSA,0.0009463308379656797
AXEL,0.0009453559656862811
MARIUS,0.000943817311847712
GREGORY,0.0009428659304666122
SEVERINE,0.0009427014941785208
JEAN-LOUIS,0.0009422786580091431
EMMANUELLE,0.000941785349144869
FANNY,0.0009390251685947644
MATHIS,0.000938214732603457
DANIELE,0.0009315902992832058
AURÉLIEN,0.000931472844791712
ARLETTE,0.0009230983395482028
EDOUARD,0.0009165208880245491
ANGELIQUE,0.0008981627510040656
WILLIAM,0.0008875096286255765
MARIE-CHRISTINE,0.0008837745757960731
MORGANE,0.0008782072328992662
MAGALI,0.0008708898180792014
RÉMY,0.00087053745460472
NADIA,0.0008699854184946991
ESTELLE,0.0008682705829188892
ANTOINETTE,0.0008524377174655228
MURIEL,0.0008336919806231097
ANGÈLE,0.0008327288537928604
BERTHE,0.0008322942721743333
JESSICA,0.0008297690006072163
EUGÉNIE,0.000824037221422318
NELLY,0.0008226747493209897
LUCETTE,0.0008213710044654084
FLORENT,0.0008173305699580211
JACKY,0.0008132431536540363
LOLA,0.0008118571906544092
JANINE,0.0008059022479356727
JULIA,0.0008003583959371646
BERTRAND,0.0007915727999734271
DYLAN,0.0007888243648724718
LISA,0.0007828224403571378
HUBERT,0.0007742365170289398
ALFRED,0.0007728505540293127
AURORE,0.0007700081553351624
JENNIFER,0.00076910375575066
LUC,0.0007650398303449739
ARMAND,0.0007641941580062185
MÉLISSA,0.0007558313982118588
GHISLAINE,0.0007555847437797217
CINDY,0.0007526248905940776
SABINE,0.0007520493635857578
LYDIE,0.0007436278765456512
RÉGINE,0.0007407267506057539
ADAM,0.0007391998422163343
MARTIN,0.0007309075551168708
GILBERTE,0.0007304377371508956
REGIS,0.000713524290375786
ETHAN,0.0007032705132683758
MAXENCE,0.0006956829531178753
YANIS,0.0006912196824411102
JOSÉ,0.0006903270283057573
LINA,0.0006865802300271045
CORENTIN,0.0006834207042059208
ZOÉ,0.0006829743771382443
MARGAUX,0.0006803668874270816
LÉONIE,0.0006800967420966458
MARIE-CLAUDE,0.0006750227080641129
EDITH,0.0006668243845578446
ROMANE,0.0006604935874663278
CÉLIA,0.0006596244242292736
NOEMIE,0.000654127554027363
CORALIE,0.0006484897384356598
JORDAN,0.0006415599234375247
EDMOND,0.0006411018509206987
ADELINE,0.0006378718524046188
BASTIEN,0.0006369557073709671
THIBAULT,0.0006334790544227501
YOLANDE,0.0006319286551350316
MARIE-FRANCE,0.0006318229460926872
JEAN-JACQUES,0.000630307783152417
ELISA,0.0006293916381187653
NOAH,0.0006261498941535359
ERNEST,0.0006246582221115644
SYLVIANE,0.0006232957500102362
MAURICETTE,0.0006205590603584302
VIVIANE,0.0006203124059262933
GAËTAN,0.0006133708454790087
NOËL,0.0006078857207262474
SACHA,0.0006061826305995871
LÉNA,0.0006057832853285081
TONY,0.0006026002686090257
FRÉDÉRIQUE,0.0005916887463492501
RACHEL,0.0005912424192815736
ROBIN,0.0005880711480112405
JEANINE,0.0005826330050550768
ANDRÉA,0.0005796026791745364
JEAN-BAPTISTE,0.0005748692631673356
MAEVA,0.0005748340268198874
FÉLIX,0.0005747048268792442
AGATHE,0.0005740705726251776
MATHÉO,0.0005723557370493679
MARIE-LOUISE,0.0005723322461510692
ALICIA,0.0005700536290160892
GAELLE,0.0005614442147895924
CLAUDETTE,0.0005610448695185134
VALENTINE,0.0005555597447657522
PAULE,0.000543767313819773
CARINE,0.0005407957151849794
JEAN-PHILIPPE,0.0005380002982874266
ELSA,0.0005351578995932763
EMILIENNE,0.0005329732460514912
MEHDI,0.0005255853585365302
AMBRE,0.0005236591048760316
NOLAN,0.0005224610690627947
MARINA,0.000517116889699826
ELIE,0.0005164826354457595
MARGOT,0.0005124187100400733
LOU,0.0005110092561421475
ALPHONSE,0.0005087423844563169
YOANN,0.0004978543530948401
LILOU,0.0004976311895610019
LUDIVINE,0.0004923574828929295
EVAN,0.00048818784844489903
TRISTAN,0.00048451152286114254
NADEGE,0.000482185923929565
YVON,0.0004762074903125297
ROLANDE,0.000469230693517797
AUGUSTINE,0.0004668111309930244
AUGUSTIN,0.00046449727751059623
ADÈLE,0.0004627119692398902
MARIANNE,0.00046243007846030504
BLANCHE,0.00046234786031625936
